rx,ry,rz,tx,ty,tz
-0.035377,-0.030037,-0.047721,0.008014,-0.025853,0.007341
-0.034037,-0.029056,-0.043385,0.007874,-0.024770,0.006260
-0.032320,-0.027599,-0.038603,0.007621,-0.023407,0.004897
-0.030433,-0.025548,-0.033367,0.006963,-0.021985,0.003420
-0.028304,-0.023617,-0.027852,0.006609,-0.020461,0.002495
-0.026229,-0.021043,-0.021720,0.005679,-0.019107,0.001328
-0.023488,-0.019021,-0.015716,0.005436,-0.017077,0.000792
-0.021005,-0.016488,-0.009247,0.004683,-0.015338,-0.000047
-0.018497,-0.014202,-0.002820,0.004277,-0.013599,-0.000897
-0.015857,-0.012002,0.003458,0.003894,-0.011623,-0.001214
-0.013815,-0.009619,0.009753,0.003301,-0.010250,-0.001511
-0.011620,-0.007449,0.015379,0.002835,-0.008545,-0.001890
-0.009945,-0.005339,0.020589,0.002385,-0.007278,-0.002141
-0.008219,-0.003421,0.025173,0.002083,-0.005858,-0.002520
-0.006874,-0.001378,0.029217,0.001540,-0.004812,-0.002934
-0.005586,0.000434,0.032500,0.001218,-0.003844,-0.003398
-0.004535,0.002096,0.034908,0.000944,-0.003131,-0.003726
-0.003689,0.003475,0.036873,0.000868,-0.002681,-0.004349
-0.002799,0.004739,0.037844,0.000766,-0.002185,-0.004739
-0.002312,0.005828,0.037993,0.000609,-0.002150,-0.005334
-0.001985,0.006382,0.037201,0.000841,-0.002271,-0.005449
-0.001825,0.006691,0.035883,0.000953,-0.002564,-0.005784
-0.001975,0.006591,0.033761,0.001217,-0.003221,-0.005802
-0.002203,0.005918,0.030731,0.001730,-0.003930,-0.005562
-0.002509,0.005327,0.027133,0.001813,-0.004734,-0.005347
-0.003281,0.004053,0.022709,0.002364,-0.006052,-0.004700
-0.004269,0.002693,0.017675,0.002804,-0.007575,-0.004124
-0.005420,0.001067,0.011884,0.003277,-0.009140,-0.003500
-0.006815,-0.000937,0.005582,0.004020,-0.010721,-0.002692
-0.008614,-0.003015,-0.001212,0.004619,-0.012398,-0.001912
-0.010691,-0.005437,-0.008671,0.005287,-0.013908,-0.001112
-0.013528,-0.007984,-0.016113,0.005838,-0.015879,-0.000109
-0.016452,-0.011103,-0.024073,0.006604,-0.017490,0.001015
-0.019679,-0.014343,-0.031762,0.007263,-0.019201,0.002373
-0.023321,-0.017798,-0.039312,0.007886,-0.021114,0.003874
-0.026659,-0.021312,-0.046337,0.008394,-0.022572,0.005208
-0.030074,-0.024799,-0.052612,0.008854,-0.024131,0.006666
-0.033411,-0.028236,-0.058186,0.009294,-0.025627,0.008170
-0.036265,-0.031362,-0.062792,0.009588,-0.026728,0.009669
-0.039109,-0.034213,-0.066579,0.009865,-0.027933,0.010830
-0.041237,-0.036531,-0.069128,0.009989,-0.028583,0.011524
-0.043140,-0.038335,-0.070912,0.010031,-0.029206,0.011983
-0.044469,-0.039656,-0.071459,0.010048,-0.029474,0.012139
-0.045394,-0.040336,-0.071147,0.009933,-0.029635,0.011579
-0.045763,-0.040535,-0.069974,0.009878,-0.029504,0.010859
-0.045309,-0.040074,-0.067758,0.009641,-0.028852,0.009852
-0.044972,-0.038962,-0.064523,0.009176,-0.028736,0.008860
-0.043248,-0.037682,-0.060777,0.008947,-0.027371,0.007911
-0.041592,-0.035859,-0.056152,0.008516,-0.026303,0.006635
-0.039414,-0.033794,-0.050905,0.008188,-0.024856,0.005075
-0.037024,-0.031351,-0.045053,0.007634,-0.023334,0.004091
-0.034350,-0.028636,-0.038519,0.007017,-0.021655,0.002736
